dataset,features,mtwv,p_fa,p_miss,desc_score
pjt-sw01,20210127-XLSR53_transformer-L09,0.5304,0.13445,0.001,0.79047982
pjt-sw01,20210127-XLSR53_transformer-L10,0.532,0.13431,0,0.78903858
pjt-sw01,20210127-XLSR53_transformer-L11,0.53,0.1349,0,0.76911926
pjt-sw01,20210127-XLSR53_transformer-L12,0.5299,0.13493,0,0.76513387
pjt-sw01,20210127-XLSR53_transformer-L13,0.5296,0.135,0,0.7613819
pjt-sw01,20210127-XLSR53_transformer-L14,0.5293,0.13511,0,0.72920877
pjt-sw01,20210127-XLSR53_transformer-L15,0.5292,0.13512,0,0.68147003
pjt-sw01,20210127-XLSR53_transformer-L16,0.5296,0.13502,0,0.72770953
pjt-sw01,20210127-XLSR53_transformer-L17,0.5293,0.13509,0,0.68773684
pjt-sw01,20210127-XLSR53_transformer-L18,0.5292,0.13512,0,0.70587431
pjt-sw01,20210127-XLSR53_transformer-L19,0.5313,0.13323,0.005,0.77468264
pjt-sw01,20210127-XLSR53_transformer-L20,0.5293,0.13509,0,0.56810885
pjt-sw01,20210127-XLSR53_transformer-L21,0.5301,0.13452,0.001,0.73132015
pjt-sw01,20210127-XLSR53_transformer-L22,0.5293,0.13511,0,0.15625882
pjt-sw01,20210127-XLSR53_transformer-L23,0.5293,0.13511,0,0.15612347
pjt-sw01,20210127-XLSR53_transformer-L24,0.5293,0.13511,0,0.15570621
wbp-jk,20210127-XLSR53_encoder,0.1628,0.02501,0.75,0.85538441
wbp-jk,20210127-XLSR53_quantizer,0.0444,0.03909,0.819,0.70590473
wbp-jk,20210127-XLSR53_transformer-L01,0.0037,0.00222,0.989,0.95099207
wbp-jk,20210127-XLSR53_transformer-L02,0.0094,0.00281,0.981,0.95157644
wbp-jk,20210127-XLSR53_transformer-L03,0.0113,0.00731,0.963,0.9415519
wbp-jk,20210127-XLSR53_transformer-L04,0.0326,0.02506,0.88,0.9210118
wbp-jk,20210127-XLSR53_transformer-L05,0.0505,0.02215,0.872,0.91705873
wbp-jk,20210127-XLSR53_transformer-L06,0.0488,0.00692,0.927,0.93261298
wbp-jk,20210127-XLSR53_transformer-L07,0.0477,0.00763,0.926,0.92762982
