dataset,features,mtwv,p_fa,p_miss,desc_score
gup-wat,20210225-Large-0FT_transformer-L04,0.4168,0.09071,0.267,0.87553732
gup-wat,20210225-Large-0FT_transformer-L05,0.4345,0.07201,0.315,0.88898578
gup-wat,20210225-Large-0FT_transformer-L06,0.4483,0.06036,0.341,0.89718061
gup-wat,20210225-Large-0FT_transformer-L07,0.477,0.05799,0.321,0.90341739
gup-wat,20210225-Large-0FT_transformer-L08,0.4461,0.07999,0.275,0.90840612
gup-wat,20210225-Large-0FT_transformer-L09,0.495,0.07097,0.258,0.89948715
gup-wat,20210225-Large-0FT_transformer-L10,0.5165,0.06332,0.263,0.88766935
gup-wat,20210225-Large-0FT_transformer-L11,0.5601,0.06001,0.231,0.86502384
gup-wat,20210225-Large-0FT_transformer-L12,0.5435,0.03825,0.323,0.8644755
gup-wat,20210225-Large-0FT_transformer-L13,0.5043,0.04809,0.328,0.83704004
gup-wat,20210225-Large-0FT_transformer-L14,0.4825,0.05297,0.333,0.8449928
gup-wat,20210225-Large-0FT_transformer-L15,0.4277,0.04802,0.405,0.87563277
gup-wat,20210225-Large-0FT_transformer-L16,0.451,0.07106,0.301,0.89099285
gup-wat,20210225-Large-0FT_transformer-L17,0.4178,0.0857,0.284,0.89664403
gup-wat,20210225-Large-0FT_transformer-L18,0.4149,0.07596,0.32,0.88795355
gup-wat,20210225-Large-0FT_transformer-L19,0.4261,0.05667,0.376,0.88203582
gup-wat,20210225-Large-0FT_transformer-L20,0.4032,0.06236,0.379,0.86551321
gup-wat,20210225-Large-0FT_transformer-L21,0.2978,0.09051,0.387,0.84906507
gup-wat,20210225-Large-0FT_transformer-L22,0.0896,0.07067,0.664,0.91715649
gup-wat,20210225-Large-0FT_transformer-L23,0.0347,0.05492,0.774,0.94535017
gup-wat,20210225-Large-0FT_transformer-L24,0.0537,0.10039,0.596,0.94101641
gup-wat,bnf,0.3121,0.05544,0.495,0.97411743
gup-wat,mfcc,0.3346,0.08011,0.386,0.90165607
mwf-jm,20210225-Large-0FT_encoder,0.3226,0.12242,0.251,0.84389132
mwf-jm,20210225-Large-0FT_quantizer,0.0904,0.11063,0.524,0.66290733
mwf-jm,20210225-Large-0FT_transformer-L01,0.3034,0.07729,0.427,0.81584422
mwf-jm,20210225-Large-0FT_transformer-L02,0.2697,0.09345,0.405,0.80603786
mwf-jm,20210225-Large-0FT_transformer-L03,0.2762,0.07193,0.473,0.81399362
mwf-jm,20210225-Large-0FT_transformer-L04,0.355,0.06757,0.41,0.808872
mwf-jm,20210225-Large-0FT_transformer-L05,0.3636,0.0824,0.349,0.79918401
mwf-jm,20210225-Large-0FT_transformer-L06,0.3705,0.08334,0.339,0.80806859
mwf-jm,20210225-Large-0FT_transformer-L07,0.3357,0.09645,0.328,0.81555574
mwf-jm,20210225-Large-0FT_transformer-L08,0.3633,0.03718,0.507,0.84063549
mwf-jm,20210225-Large-0FT_transformer-L09,0.4223,0.0735,0.322,0.82785795
mwf-jm,20210225-Large-0FT_transformer-L10,0.4934,0.06012,0.297,0.81856855
mwf-jm,20210225-Large-0FT_transformer-L11,0.5217,0.02737,0.383,0.8402461
mwf-jm,20210225-Large-0FT_transformer-L12,0.5563,0.02738,0.348,0.84187395
