dataset,features,mtwv,p_fa,p_miss,desc_score
gbb-lg,wav2vec2-large-xlsr-53_quantizer,0.3883,0.08513,0.315,0.81145428
gbb-lg,wav2vec2-large-xlsr-53_transformer-L01,0.4237,0.09166,0.257,0.85011644
gbb-lg,wav2vec2-large-xlsr-53_transformer-L02,0.4085,0.08643,0.29,0.86430591
gbb-lg,wav2vec2-large-xlsr-53_transformer-L03,0.4884,0.07144,0.263,0.85551371
gbb-lg,wav2vec2-large-xlsr-53_transformer-L04,0.4851,0.0394,0.378,0.87581417
gbb-lg,wav2vec2-large-xlsr-53_transformer-L05,0.5085,0.04865,0.322,0.85808617
gbb-lg,wav2vec2-large-xlsr-53_transformer-L06,0.6113,0.045,0.232,0.82222022
gbb-lg,wav2vec2-large-xlsr-53_transformer-L07,0.6688,0.04387,0.178,0.80685442
gbb-lg,wav2vec2-large-xlsr-53_transformer-L08,0.6587,0.04559,0.183,0.82576557
gbb-lg,wav2vec2-large-xlsr-53_transformer-L09,0.6744,0.03248,0.212,0.83742969
gbb-lg,wav2vec2-large-xlsr-53_transformer-L10,0.7022,0.02505,0.211,0.84118493
gbb-lg,wav2vec2-large-xlsr-53_transformer-L11,0.7254,0.02232,0.197,0.83897332
gbb-lg,wav2vec2-large-xlsr-53_transformer-L12,0.7149,0.0279,0.188,0.824462
gbb-lg,wav2vec2-large-xlsr-53_transformer-L13,0.7042,0.02791,0.199,0.83595242
gbb-lg,wav2vec2-large-xlsr-53_transformer-L14,0.5696,0.04042,0.29,0.86005137
gbb-lg,wav2vec2-large-xlsr-53_transformer-L15,0.5931,0.04963,0.234,0.86263125
gbb-lg,wav2vec2-large-xlsr-53_transformer-L16,0.6325,0.04074,0.226,0.86390400999999994
gbb-lg,wav2vec2-large-xlsr-53_transformer-L17,0.6282,0.05119,0.193,0.85418506
gbb-lg,wav2vec2-large-xlsr-53_transformer-L18,0.5978,0.05738,0.202,0.8585203
gbb-lg,wav2vec2-large-xlsr-53_transformer-L19,0.5974,0.04878,0.233,0.85695031
